time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451950000	6.68539	20.0481	5.01453	3.57685	0.452364	radar	0.503055	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.43714	19.9568	5.04121	3.5898	0.441642	lidar	0.335722	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.22057	19.8632	5.02197	3.60711	0.437089	radar	2.86315	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.95724	19.7698	5.07154	3.6143	0.420658	lidar	0.804539	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.72727	19.6245	5.1146	3.65173	0.449369	radar	1.91821	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.55123	19.5016	5.04862	3.68131	0.458139	lidar	1.40658	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.34968	19.3525	5.04326	3.71429	0.471555	radar	1.7522	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.13663	19.2509	5.02965	3.72477	0.457946	lidar	1.94267	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.94584	19.1388	4.96722	3.73545	0.435979	radar	4.66982	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78345	18.988	4.91569	3.76972	0.450439	lidar	0.72378	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
